order_id,customer_id,order_date,category,product_name,unit_price,quantity,country,payment_method,channel,order_status,revenue,month,quarter,year
ORD103060,CUST1288,2024-02-16,Home & Kitchen,Air Fryer,3360.0,1.0,United Kingdom,Upi,Mobile App,Delivered,3360.0,2024-02,1,2024
ORD102675,CUST363,2024-04-23,Books,Fiction Bestseller,686.71,2.0,India,Cod,Mobile App,Delivered,1373.42,2024-04,2,2024
ORD103653,CUST875,2024-08-12,Fashion,Denim Jacket,603.78,1.0,India,Net Banking,Mobile App,Delivered,603.78,2024-08,3,2024
ORD104328,CUST415,2024-01-16,Electronics,Bluetooth Speaker,2874.07,1.0,Germany,Credit Card,Website,Cancelled,2874.07,2024-01,1,2024
ORD101222,CUST764,2024-05-05,Home & Kitchen,Blender,1108.87,4.0,Germany,Upi,Mobile App,Delivered,4435.48,2024-05,2,2024
ORD105822,CUST394,2024-07-03,Fashion,Running Shoes,1918.95,1.0,India,Credit Card,Mobile App,Delivered,1918.95,2024-07,3,2024
ORD101479,CUST542,2024-05-13,Toys,Puzzle 1000pc,540.91,1.0,United Kingdom,Debit Card,Mobile App,Delivered,540.91,2024-05,2,2024
ORD100841,CUST34,2024-01-05,Fashion,Denim Jacket,2132.51,2.0,India,Upi,Mobile App,Returned,4265.02,2024-01,1,2024
ORD100998,CUST1204,2024-06-08,Fashion,Running Shoes,501.47,1.0,Uae,Upi,Website,Delivered,501.47,2024-06,2,2024
ORD102822,CUST713,2024-04-29,Toys,Board Game,1225.72,1.0,United Kingdom,Credit Card,Website,Delivered,1225.72,2024-04,2,2024
ORD104956,CUST1435,2024-09-28,Home & Kitchen,Air Fryer,2968.64,1.0,Germany,Upi,Marketplace,Delivered,2968.64,2024-09,3,2024
ORD103067,CUST1247,2024-02-04,Electronics,Phone Case,3322.03,2.0,France,Upi,Mobile App,Delivered,6644.06,2024-02,1,2024
ORD101459,CUST357,2024-01-24,Toys,Puzzle 1000pc,596.53,2.0,India,Cod,Mobile App,Delivered,1193.06,2024-01,1,2024
ORD102713,CUST945,2024-03-10,Fashion,Cotton T-Shirt,2172.39,1.0,United Kingdom,Credit Card,Marketplace,Delivered,2172.39,2024-03,1,2024
ORD100615,CUST677,2024-05-30,Electronics,Smartwatch,2163.99,2.0,India,Paypal,Marketplace,Delivered,4327.98,2024-05,2,2024
ORD102277,CUST974,2024-09-22,Electronics,Power Bank,3064.68,3.0,India,Credit Card,Marketplace,Delivered,9194.039999999999,2024-09,3,2024
ORD100629,CUST1657,2024-02-11,Books,Fiction Bestseller,611.61,1.0,United States,Cod,Mobile App,Delivered,611.61,2024-02,1,2024
ORD103743,CUST214,2024-06-09,Fashion,Leather Wallet,1322.8,1.0,India,Upi,Mobile App,Delivered,1322.8,2024-06,2,2024
ORD100469,CUST436,2024-03-17,Fashion,Leather Wallet,1737.4,1.0,United Kingdom,Cod,Mobile App,Delivered,1737.4,2024-03,1,2024
ORD102424,CUST1198,2024-08-12,Books,Fiction Bestseller,538.32,1.0,India,Upi,Mobile App,Returned,538.32,2024-08,3,2024
ORD100293,CUST274,2024-04-04,Beauty,Lip Balm Set,769.1,3.0,Germany,Cod,Mobile App,Delivered,2307.3,2024-04,2,2024
ORD105810,CUST234,2024-04-30,Fashion,Denim Jacket,1746.67,2.0,United States,Unknown,Marketplace,Returned,3493.34,2024-04,2,2024
ORD104311,CUST1734,2024-05-01,Toys,Puzzle 1000pc,1829.26,1.0,India,Debit Card,Website,Delivered,1829.26,2024-05,2,2024
ORD104478,CUST1568,2024-02-24,Fashion,Running Shoes,1040.9,3.0,India,Debit Card,Mobile App,Delivered,3122.7000000000003,2024-02,1,2024
ORD105561,CUST1381,2024-02-17,Home & Kitchen,Storage Containers,1991.35,1.0,India,Credit Card,Mobile App,Delivered,1991.35,2024-02,1,2024
ORD104815,CUST934,2024-04-06,Fashion,Cotton T-Shirt,970.12,2.0,India,Upi,Mobile App,Delivered,1940.24,2024-04,2,2024
ORD105226,CUST88,2024-04-17,Sports,Cycling Gloves,2414.91,2.0,India,Credit Card,Website,Delivered,4829.82,2024-04,2,2024
ORD105062,CUST349,2024-01-31,Fashion,Leather Wallet,1995.4,1.0,India,Net Banking,Website,Cancelled,1995.4,2024-01,1,2024
ORD103895,CUST1692,2024-07-02,Home & Kitchen,Blender,2021.24,2.0,United States,Upi,Website,Delivered,4042.48,2024-07,3,2024
ORD100035,CUST256,2024-01-05,Beauty,Face Serum,713.63,2.0,India,Debit Card,Marketplace,Delivered,1427.26,2024-01,1,2024
ORD102939,CUST1345,2024-03-20,Beauty,Face Serum,219.79,1.0,India,Paypal,Marketplace,Cancelled,219.79,2024-03,1,2024
ORD104385,CUST1722,2024-05-17,Sports,Resistance Bands,606.87,5.0,Germany,Credit Card,Website,Delivered,3034.35,2024-05,2,2024
ORD103876,CUST371,2024-03-15,Home & Kitchen,LED Desk Lamp,1456.5,2.0,India,Debit Card,Website,Delivered,2913.0,2024-03,1,2024
ORD100038,CUST1758,2024-03-06,Sports,Yoga Mat,507.24,2.0,Germany,Paypal,Mobile App,Delivered,1014.48,2024-03,1,2024
ORD103417,CUST620,2024-08-27,Fashion,Running Shoes,2629.81,4.0,Uae,Cod,Mobile App,Delivered,10519.24,2024-08,3,2024
ORD104954,CUST57,2024-08-30,Beauty,Sunscreen SPF50,1156.96,2.0,Uae,Net Banking,Marketplace,Delivered,2313.92,2024-08,3,2024
ORD100120,CUST1460,2024-01-17,Toys,RC Car,1622.78,4.0,United States,Paypal,Marketplace,Delivered,6491.12,2024-01,1,2024
ORD100921,CUST1546,2024-03-23,Books,Self-Help Guide,498.08,3.0,India,Credit Card,Mobile App,Delivered,1494.24,2024-03,1,2024
ORD103996,CUST68,2024-01-03,Fashion,Sunglasses,1133.18,4.0,United States,Credit Card,Marketplace,Delivered,4532.72,2024-01,1,2024
ORD105183,CUST446,2024-03-19,Home & Kitchen,Air Fryer,1413.74,2.0,United States,Cod,Website,Returned,2827.48,2024-03,1,2024
ORD100592,CUST841,2024-04-20,Books,Kids Picture Book,412.6,1.0,United States,Debit Card,Mobile App,Delivered,412.6,2024-04,2,2024
ORD105603,CUST1781,2024-05-16,Beauty,Lip Balm Set,1497.34,2.0,Germany,Net Banking,Website,Delivered,2994.68,2024-05,2,2024
ORD105274,CUST1334,2024-04-02,Electronics,Smartwatch,3265.37,1.0,India,Credit Card,Marketplace,Returned,3265.37,2024-04,2,2024
ORD101493,CUST1653,2024-03-06,Sports,Resistance Bands,1373.83,1.0,Uae,Upi,Mobile App,Delivered,1373.83,2024-03,1,2024
ORD103701,UNKNOWN,2024-06-22,Fashion,Sunglasses,1511.97,1.0,India,Debit Card,Mobile App,Delivered,1511.97,2024-06,2,2024
ORD105232,CUST535,2024-03-09,Fashion,Running Shoes,221.63,1.0,Uae,Credit Card,Website,Delivered,221.63,2024-03,1,2024
ORD104109,CUST1528,2024-05-08,Home & Kitchen,LED Desk Lamp,653.13,1.0,India,Upi,Mobile App,Cancelled,653.13,2024-05,2,2024
ORD102847,UNKNOWN,2024-03-10,Fashion,Denim Jacket,498.23,1.0,United Kingdom,Credit Card,Website,Delivered,498.23,2024-03,1,2024
ORD100285,CUST780,2024-08-17,Fashion,Cotton T-Shirt,1984.77,1.0,India,Paypal,Mobile App,Delivered,1984.77,2024-08,3,2024
ORD100828,CUST1407,2024-04-24,Fashion,Leather Wallet,429.59,1.0,India,Credit Card,Mobile App,Delivered,429.59,2024-04,2,2024
ORD102097,CUST1252,2024-09-28,Home & Kitchen,Blender,763.95,2.0,India,Credit Card,Mobile App,Delivered,1527.9,2024-09,3,2024
