order_id,customer_id,order_date,category,product_name,unit_price,quantity,country,payment_method,channel,order_status
ORD103060,CUST1288,02-16-2024,Home & Kitchen,Air Fryer,3360.0,1.0,United Kingdom,UPI,Mobile App,Delivered
ORD102675,CUST363,04-23-2024,Books,Fiction Bestseller,686.71,2.0,India,COD,Mobile App,Delivered
ORD103653,CUST875,2024-08-12,Fashion,Denim Jacket,603.78,1.0,India,Net Banking,MOBILE APP,Delivered
ORD104328,CUST415,2024-01-16,Electronics,Bluetooth Speaker,,1.0,Germany,credit card,Website,Cancelled
ORD101222,CUST764,2024-05-05,Home & Kitchen,Blender,1108.87,4.0,Germany,UPI,Mobile App,Delivered
ORD105822,CUST394,2024-07-03,Fashion,Running Shoes,1918.95,1.0,India,credit card,Mobile App,Delivered
ORD101479,CUST542,2024-05-13,Toys,Puzzle 1000pc,540.91,,UK,Debit Card,Mobile App,Delivered
ORD100841,CUST34,2024-01-05,Fashion,Denim Jacket,2132.51,2.0,India,UPI,Mobile App,Returned
ORD100998,CUST1204,2024-06-08,Fashion,Running Shoes,501.47,1.0,UAE,UPI,Website,Delivered
ORD102822,CUST713,2024-04-29,Toys,Board Game,1225.72,1.0,UK,Credit Card,Website,Delivered
ORD104956,CUST1435,09-28-2024,Home & Kitchen,Air Fryer,2968.64,1.0,Germany,UPI,Marketplace,Delivered
ORD103067,CUST1247,02-04-2024,Electronics,Phone Case,3322.03,2.0,France,UPI,Mobile App,Delivered
ORD101459,CUST357,01-24-2024,Toys,Puzzle 1000pc,596.53,2.0,India,COD,Mobile App,Delivered
ORD102713,CUST945,10/03/2024,Fashion,Cotton T-Shirt,2172.39,1.0,United Kingdom,Credit Card,Marketplace,Delivered
ORD100615,CUST677,2024-05-30,Electronics,Smartwatch,2163.99,2.0,India,PayPal,Marketplace,Delivered
ORD102277,CUST974,09-22-2024,Electronics,Power Bank,3064.68,3.0,India,credit card,Marketplace,Delivered
ORD100629,CUST1657,2024-02-11,Books,Fiction Bestseller,611.61,,USA,COD,MOBILE APP,Delivered
ORD103743,CUST214,06-09-2024,Fashion,Leather Wallet,1322.8,1.0,India,UPI,Mobile App,Delivered
ORD100469,CUST436,03-17-2024,Fashion,Leather Wallet,1737.4,1.0,UK,COD,Mobile App,Delivered
ORD102424,CUST1198,2024-08-12,Books,Fiction Bestseller,538.32,1.0,India,UPI,Mobile App,Returned
ORD100293,CUST274,2024-04-04,Beauty,Lip Balm Set,769.1,3.0,Germany,COD,Mobile App,Delivered
ORD105810,CUST234,2024-04-30,Fashion,Denim Jacket,1746.67,2.0,USA,,Marketplace,Returned
ORD104311,CUST1734,2024-05-01,Toys,Puzzle 1000pc,1829.26,1.0,India,Debit Card,Website,Delivered
ORD104478,CUST1568,24/02/2024,Fashion,Running Shoes,1040.9,3.0,India,Debit Card,Mobile App,delivered
ORD105561,CUST1381,2024-02-17,Home & Kitchen,Storage Containers,1991.35,1.0,India,Credit Card,Mobile App,Delivered
ORD104815,CUST934,2024-04-06,Fashion,Cotton T-Shirt,970.12,2.0,India,UPI,Mobile App,Delivered
ORD105226,CUST88,2024-04-17,Sports,Cycling Gloves,2414.91,2.0,India,credit card,Website,Delivered
ORD105062,CUST349,2024-01-31,Fashion,Leather Wallet,1995.4,1.0,India,Net Banking,Website,Cancelled
ORD103895,CUST1692,02/07/2024,Home & Kitchen,Blender,2021.24,2.0,USA,UPI,Website,Delivered
ORD100035,CUST256,2024-01-05,Beauty,Face Serum,713.63,2.0,India,Debit Card,Marketplace,delivered
ORD102939,CUST1345,2024-03-20,Beauty,Face Serum,219.79,1.0,India,PayPal,Marketplace,Cancelled
ORD104385,CUST1722,2024-05-17,Sports,Resistance Bands,606.87,5.0,Germany,Credit Card,Website,Delivered
ORD103876,CUST371,2024-03-15,Home & Kitchen,LED Desk Lamp,1456.5,2.0,India,Debit Card,Website,Delivered
ORD100038,CUST1758,2024-03-06,Sports,Yoga Mat,507.24,2.0,Germany,PayPal,Mobile App,delivered
ORD103417,CUST620,2024-08-27,Fashion,Running Shoes,2629.81,4.0,UAE,COD,Mobile App,Delivered
ORD104954,CUST57,08-30-2024,Beauty,Sunscreen SPF50,1156.96,2.0,UAE,Net Banking,Marketplace,Delivered
ORD100120,CUST1460,2024-01-17,Toys,RC Car,1622.78,4.0,United States,PayPal,Marketplace,Delivered
ORD100921,CUST1546,2024-03-23,Books,Self-Help Guide,498.08,3.0,India,Credit Card,Mobile App,Delivered
ORD103996,CUST68,2024-01-03,Fashion,Sunglasses,1133.18,4.0,USA,Credit Card,Marketplace,Delivered
ORD105183,CUST446,03-19-2024,Home & Kitchen,Air Fryer,1413.74,2.0,USA,COD,Website,Returned
ORD100592,CUST841,2024-04-20,Books,Kids Picture Book,412.6,1.0,USA,Debit Card,Mobile App,Delivered
ORD105603,CUST1781,05-16-2024,Beauty,Lip Balm Set,1497.34,2.0,Germany,Net Banking,Website,Delivered
ORD105274,CUST1334,2024-04-02,Electronics,Smartwatch,3265.37,1.0,India,Credit Card,Marketplace,Returned
ORD101493,CUST1653,2024-03-06,Sports,Resistance Bands,195766.0,1.0,UAE,UPI,Mobile App,Delivered 
ORD103701,,2024-06-22,Fashion,Sunglasses,1511.97,1.0,India,Debit Card,Mobile App,Delivered
